Nest ID,year,site,Fate,FirstFoundCD,LastPresentCD,LastCheckedCD,AgeFound,tmt,elev,FirstFound,LastPresent,LastChecked,AgeDay1,cause
127,2015,KKI,0,152,163,163,24,control,low,113,124,124,-88,fledge
132,2015,KKI,0,183,205,205,13,control,low,144,166,166,-130,fledge
134,2015,LKE,0,117,146,146,6,control,high,78,107,107,-71,fledge
138,2015,LKE,0,120,124,124,31,control,high,81,85,85,-49,fledge
139,2015,LKE,0,138,151,151,22,control,high,99,112,112,-76,fledge
141,2015,LKE,0,131,140,140,26,control,high,92,101,101,-65,fledge
144,2015,LKE,0,176,194,194,17,control,high,137,155,155,-119,fledge
145,2015,LKE,0,169,170,170,34,control,high,130,131,131,-95,fledge
146,2015,UKE,0,112,145,145,1,control,high,73,106,106,-71,fledge
147,2015,UKE,0,110,141,141,4,control,high,71,102,102,-66,fledge
149,2015,UKE,0,112,120,120,27,control,high,73,81,81,-45,fledge
150,2015,UKE,0,127,161,161,1,control,high,88,122,122,-86,fledge
151,2015,UKE,0,131,165,165,1,control,high,92,126,126,-90,fledge
152,2015,UKE,0,139,152,152,22,control,high,100,113,113,-77,fledge
155,2015,UKE,0,159,193,193,1,control,high,120,154,154,-118,fledge
159,2015,UKE,0,167,178,178,24,control,high,128,139,139,-103,fledge
